unit_name,analysisEpoch,spikeTimes_1,spikeTimes_2,spikeTimes_3,spikeTimes_4,spikeTimes_5,nSpikes,firingRate,trial_index,stmFreq,stmFreqIndx,timewin_s
MrCassius-190328_D2_AC_R2_u021,stimOn,46.5873599951738,,,,,1,7.8740157480315,200,141.421356237309,3,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,201,1600,17,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,202,1345.43426440594,16,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,203,15221.8510720348,30,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,204,9050.96679918781,27,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,205,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,72.2569599998533,75.7795199998072,,,,2,15.748031496063,206,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,207,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,208,237.841423000544,6,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,209,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,26.0419199957978,26.8611199957668,,,,2,15.748031496063,210,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,211,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,212,3805.46276800871,22,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,213,6400,25,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,61.5423999942141,92.5491199942189,93.9417599941953,95.8259199942113,,4,31.496062992126,214,400,9,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,215,9050.96679918781,27,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,216,1131.37084989848,15,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,217,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,29.4027199994307,120.088159999461,121.931359999464,,,3,23.6220472440945,218,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,24.4244799997541,26.4724799997639,,,,2,15.748031496063,219,282.842712474619,7,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,220,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,221,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,222,2262.74169979695,19,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,223,12800,29,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,27.0353599988157,49.7681599988719,,,,2,15.748031496063,224,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,23.4647999995505,,,,,1,7.8740157480315,225,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,226,1345.43426440594,16,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,227,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,228,237.841423000544,6,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,229,10763.4741152475,28,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,230,3200,21,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,23.941119999683,27.1769599996624,,,,2,15.748031496063,231,565.685424949238,11,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,232,1600,17,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,233,141.421356237309,3,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,234,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,235,15221.8510720348,30,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,236,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,237,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,238,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,239,4525.4833995939,23,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,22.8489599972381,27.0678399972385,,,,2,15.748031496063,240,800,13,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,241,1902.73138400435,18,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,242,3805.46276800871,22,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,243,168.179283050743,4,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,31.1840000008815,54.1625600008992,,,,2,15.748031496063,244,475.682846001088,10,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,245,200,5,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,246,118.920711500272,2,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,247,100,1,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,53.7260799938231,79.7356799938716,81.5788799938746,,,3,23.6220472440945,248,336.358566101486,8,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,249,2690.86852881189,20,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,250,5381.73705762377,24,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,251,7610.92553601741,26,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,252,672.717132202971,12,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,253,951.365692002177,14,0.127
MrCassius-190328_D2_AC_R2_u021,stimOn,,,,,,0,0,254,4525.4833995939,23,0.127
